	input_vars_id	input_vars	satdeficit	eval_fraction	regtypes	tree_maxdepth	subdomain_sizes	refstd	samplestd	samplecorr	exectime	RMSE	feature_importances
0	R2	['qtm,qsm,pm,tm,var_l']	False	0.2	decision_tree	10	1	0.10619108378887177	0.0999750194962566	0.8840702745195976	0:00:00.119225	0.05000259354710579	{'qtm': 0.5181769, 'qsm': 0.40749717, 'pm': 0.053052723, 'tm': 0.018527398, 'var_l': 0.002745794}
0	R2	['qtm,qsm,pm,tm,var_l']	False	0.2	decision_tree	10	05	0.12159381806850433	0.11160088458572383	0.9166309147576438	0:00:00.516545	0.04861171916127205	{'qtm': 0.53654265, 'qsm': 0.41758, 'pm': 0.036754213, 'tm': 0.0074881087, 'var_l': 0.0016350158}
0	R2	['qtm,qsm,pm,tm,var_l']	False	0.2	decision_tree	10	025	0.12994371354579926	0.1196918980110217	0.9184205319418186	0:00:02.606105	0.05140789598226547	{'qtm': 0.5407507, 'qsm': 0.44725052, 'pm': 0.008159645, 'tm': 0.0031941584, 'var_l': 0.0006450019}
0	R2	['qtm,qsm,pm,tm,var_l']	False	0.2	decision_tree	10	0125	0.1396782100200653	0.12693016137731777	0.9080733747297821	0:00:12.697554	0.05849886313080788	{'qtm': 0.4957077, 'qsm': 0.49646968, 'pm': 0.005728528, 'tm': 0.0018417349, 'var_l': 0.00025236988}
0	R2	['qtm,qsm,pm,tm,var_l']	False	0.2	decision_tree	10	00625	0.14660653471946716	0.12470083840361411	0.8504917115916973	0:00:55.940780	0.07711334526538849	{'qtm': 0.4878944, 'qsm': 0.3251073, 'pm': 0.10535058, 'tm': 0.081294216, 'var_l': 0.0003535314}
0	R2	['qtm,qsm,pm,tm,var_l']	False	0.2	random_forest	10	1	0.11123847961425781	0.0659428836099318	0.7769535635118635	0:00:00.079339	0.07297971099615097	{'qtm': 0.5797602, 'qsm': 0.39087525, 'pm': 0.029364547, 'tm': 0.0, 'var_l': 0.0}
0	R2	['qtm,qsm,pm,tm,var_l']	False	0.2	random_forest	10	05	0.11914791911840439	0.07266675307589114	0.7440476867165572	0:00:00.305786	0.08119699358940125	{'qtm': 0.5926603, 'qsm': 0.37338802, 'pm': 0.03395168, 'tm': 0.0, 'var_l': 0.0}
0	R2	['qtm,qsm,pm,tm,var_l']	False	0.2	random_forest	10	025	0.13111403584480286	0.07800736175797589	0.720945282472405	0:00:01.470062	0.09235212951898575	{'qtm': 0.60603845, 'qsm': 0.39396158, 'pm': 0.0, 'tm': 0.0, 'var_l': 0.0}
0	R2	['qtm,qsm,pm,tm,var_l']	False	0.2	random_forest	10	0125	0.13870033621788025	0.08464042565077916	0.679562072788417	0:00:06.674445	0.10220643132925034	{'qtm': 0.63017267, 'qsm': 0.36982733, 'pm': 0.0, 'tm': 0.0, 'var_l': 0.0}
0	R2	['qtm,qsm,pm,tm,var_l']	False	0.2	random_forest	10	00625	0.14726340770721436	0.06984036240909677	0.5934462713024443	0:00:42.651652	0.11982113867998123	{'qtm': 0.38962513, 'qsm': 0.20714924, 'pm': 0.2332583, 'tm': 0.16996732, 'var_l': 0.0}
