	input_vars_id	input_vars	satdeficit	eval_fraction	regtypes	tree_maxdepth	subdomain_sizes	refstd	samplestd	samplevar	exectime
0	R01	['qtm,qsm,pm,tm,qlm,skew_l']	False	0.2	decision_tree	10	625	0.14671067893505094	0.10893338042377664	0.7409883515314194	0:01:04.221089
1	R01	['qtm,qsm,pm,tm,qlm,skew_l']	False	0.2	gradient_boost	10	625	0.1472930908203125	0.14341125906745775	0.98641046611949	1:50:59.583631
0	R10	['qtm,qsm,pm,tm,skew_l,qlm']	False	0.2	decision_tree	10	1	0.1093512922525406	0.10843073902684434	0.9629610758904852	0:00:00.232520
1	R10	['qtm,qsm,pm,tm,skew_l,qlm']	False	0.2	decision_tree	10	5	0.12170118093490599	0.11897117386904105	0.9627678697108129	0:00:00.890424
2	R10	['qtm,qsm,pm,tm,skew_l,qlm']	False	0.2	decision_tree	10	25	0.1295490562915802	0.123154792792163	0.938476084259758	0:00:03.356748
3	R10	['qtm,qsm,pm,tm,skew_l,qlm']	False	0.2	decision_tree	10	125	0.1386093944311142	0.1232483380326743	0.8863316834659807	0:00:15.358082
0	R10	['qtm,qsm,pm,tm,skew_l,qlm']	False	0.2	random_forest	10	625	0.14704667031764984	0.08418765735579671	0.616874411576401	0:03:43.787382
0	R01	['qtm,qsm,pm,tm,qlm,skew_l']	False	0.2	gradient_boost	10	1	0.10915719717741013	0.10757042738522324	0.9826197239392408	0:00:16.993505
1	R01	['qtm,qsm,pm,tm,qlm,skew_l']	False	0.2	random_forest	10	1	0.1086987927556038	0.10029396749036998	0.9465119042963199	0:00:00.373897
2	R01	['qtm,qsm,pm,tm,qlm,skew_l']	False	0.2	gradient_boost	10	5	0.11800305545330048	0.11561532359523692	0.9860486859107104	0:01:15.170316
3	R01	['qtm,qsm,pm,tm,qlm,skew_l']	False	0.2	random_forest	10	5	0.11717649549245834	0.10785310361062103	0.9193926838748744	0:00:02.039591
0	R01	['qtm,qsm,pm,tm,qlm,skew_l']	False	0.2	gradient_boost	10	025	0.12801697850227356	0.12556900710503832	0.9885662900564333	0:05:56.025279
1	R01	['qtm,qsm,pm,tm,qlm,skew_l']	False	0.2	random_forest	10	025	0.1307283192873001	0.11279022835423883	0.8993977664129756	0:00:09.112766
2	R01	['qtm,qsm,pm,tm,qlm,skew_l']	False	0.2	gradient_boost	10	0125	0.13888224959373474	0.1358687622192631	0.9886651862355776	0:26:50.060616
3	R01	['qtm,qsm,pm,tm,qlm,skew_l']	False	0.2	random_forest	10	0125	0.1391616314649582	0.10584930850484696	0.807288651905785	0:00:46.219849
