	input_vars_id	input_vars	satdeficit	eval_fraction	regtypes	tree_maxdepth	subdomain_sizes	refstd	samplestd	samplevar	exectime
0	R2	['qtm,qsm,pm,tm,var_l']	False	0.2	decision_tree	10	625	0.14725077152252194	0.12104888094521142	0.8227158224571386	0:00:55.368550
1	R2	['qtm,qsm,pm,tm,var_l']	False	0.2	gradient_boost	10	625	0.14667640626430511	0.14043648755751809	0.9717513369961056	1:38:05.886652
0	R2	['qtm,qsm,pm,tm,var_l']	False	0.2	decision_tree	10	1	0.10924545675516127	0.0997737917573926	0.9157142357885228	0:00:00.144747
1	R2	['qtm,qsm,pm,tm,var_l']	False	0.2	decision_tree	10	5	0.1197960153222084	0.10969148027135042	0.9057347445550076	0:00:00.615389
2	R2	['qtm,qsm,pm,tm,var_l']	False	0.2	decision_tree	10	25	0.12760841846466064	0.11720719250536935	0.9112899150644014	0:00:02.816363
3	R2	['qtm,qsm,pm,tm,var_l']	False	0.2	decision_tree	10	125	0.13914580643177032	0.12588388017671864	0.9041773540245708	0:00:13.433443
0	R2	['qtm,qsm,pm,tm,var_l']	False	0.2	random_forest	10	625	0.14655393362045288	0.06877045250035749	0.5985222223729367	0:02:07.672879
0	R2	['qtm,qsm,pm,tm,var_l']	False	0.2	gradient_boost	10	1	0.1038406938314438	0.09732151472406317	0.9600271721406491	0:00:15.011717
1	R2	['qtm,qsm,pm,tm,var_l']	False	0.2	random_forest	10	1	0.11133226007223128	0.06910304510311792	0.7580674710527889	0:00:00.290918
2	R2	['qtm,qsm,pm,tm,var_l']	False	0.2	gradient_boost	10	5	0.11817288398742674	0.11287465058735965	0.9670562690233276	0:01:07.711649
3	R2	['qtm,qsm,pm,tm,var_l']	False	0.2	random_forest	10	5	0.118565671145916	0.07223857102721899	0.7228230777002009	0:00:01.253779
0	R2	['qtm,qsm,pm,tm,var_l']	False	0.2	gradient_boost	10	025	0.12895521521568298	0.12426964067216222	0.9705949712809036	0:05:13.970269
1	R2	['qtm,qsm,pm,tm,var_l']	False	0.2	random_forest	10	025	0.12996366620063782	0.08003100094607209	0.6987907800064319	0:00:05.923063
2	R2	['qtm,qsm,pm,tm,var_l']	False	0.2	gradient_boost	10	0125	0.1386180967092514	0.13385222528768326	0.9727199117518247	0:23:51.389603
3	R2	['qtm,qsm,pm,tm,var_l']	False	0.2	random_forest	10	0125	0.13819335401058197	0.0825642453563036	0.6978221998009393	0:00:25.954731
