	input_vars_id	input_vars	satdeficit	eval_fraction	regtypes	tree_maxdepth	subdomain_sizes	refstd	samplestd	samplevar	exectime
0	R0	['qtm,qsm,pm,tm,qlm']	False	0.2	decision_tree	10	625	0.14647015929222107	0.11056030601504316	0.7529604821971813	0:00:51.128468
1	R0	['qtm,qsm,pm,tm,qlm']	False	0.2	gradient_boost	10	625	0.14668689668178558	0.14216530840194655	0.9841009335159208	1:25:35.244636
0	R0	['qtm,qsm,pm,tm,qlm']	False	0.2	decision_tree	10	1	0.10801581293344498	0.10578831911300636	0.9623485803695152	0:00:00.206162
1	R0	['qtm,qsm,pm,tm,qlm']	False	0.2	decision_tree	10	5	0.11840388923883438	0.11454409965091325	0.9535487971638721	0:00:00.742003
2	R0	['qtm,qsm,pm,tm,qlm']	False	0.2	decision_tree	10	25	0.1297045350074768	0.12149020096475298	0.9302818059512724	0:00:02.678961
3	R0	['qtm,qsm,pm,tm,qlm']	False	0.2	decision_tree	10	125	0.13772626221179962	0.12061177758988945	0.8726161178938865	0:00:12.684070
0	R0	['qtm,qsm,pm,tm,qlm']	False	0.2	gradient_boost	10	1	0.10556335002183914	0.10430595218112712	0.9832767023477595	0:00:14.764862
1	R0	['qtm,qsm,pm,tm,qlm']	False	0.2	random_forest	10	1	0.10654671490192412	0.09734362795260107	0.9380708512232376	0:00:00.403989
2	R0	['qtm,qsm,pm,tm,qlm']	False	0.2	gradient_boost	10	5	0.11844083666801453	0.11593286465770465	0.9824557325039028	0:01:06.883078
3	R0	['qtm,qsm,pm,tm,qlm']	False	0.2	random_forest	10	5	0.12133900076150896	0.10867804645625097	0.9159068521542316	0:00:01.826820
4	R0	['qtm,qsm,pm,tm,qlm']	False	0.2	gradient_boost	10	25	0.12855522334575653	0.12631986742865092	0.9858517701314098	0:05:06.741431
5	R0	['qtm,qsm,pm,tm,qlm']	False	0.2	random_forest	10	25	0.13036932051181793	0.1113098945213846	0.8878117250919231	0:00:08.204462
0	R0	['qtm,qsm,pm,tm,qlm']	False	0.2	random_forest	10	625	0.1465294063091278	0.08296922217216783	0.6215366853569853	0:03:00.349599
0	R0	['qtm,qsm,pm,tm,qlm']	False	0.2	gradient_boost	10	0125	0.1384672224521637	0.13538504574094307	0.9868572518166445	0:22:10.478932
1	R0	['qtm,qsm,pm,tm,qlm']	False	0.2	random_forest	10	0125	0.13854815065860748	0.10670378470233863	0.8169017576561637	0:00:40.086162
