	input_vars_id	input_vars	satdeficit	eval_fraction	regtypes	tree_maxdepth	subdomain_sizes	refstd	samplestd	samplecorr	exectime
0	R31	['qtm,qsm,pm,tm,var_t,skew_l']	False	0.2	decision_tree	10	1	0.1063643991947174	0.10144907257027036	0.8817155760594941	0:00:00.177077
1	R31	['qtm,qsm,pm,tm,var_t,skew_l']	False	0.2	decision_tree	10	5	0.11755595356225967	0.10922439953554572	0.9184990876311396	0:00:00.802267
2	R31	['qtm,qsm,pm,tm,var_t,skew_l']	False	0.2	decision_tree	10	25	0.12777334451675415	0.11586564162321833	0.9003402594256852	0:00:03.678941
0	R31	['qtm,qsm,pm,tm,var_t,skew_l']	False	0.2	random_forest	10	1	0.10818865150213244	0.06831922801186185	0.7463669925230526	0:00:00.355014
1	R31	['qtm,qsm,pm,tm,var_t,skew_l']	False	0.2	random_forest	10	5	0.11944689601659775	0.07327136387054453	0.7354863841143486	0:00:01.573963
2	R31	['qtm,qsm,pm,tm,var_t,skew_l']	False	0.2	random_forest	10	25	0.12990166246891022	0.07858829358505649	0.7057697341653831	0:00:07.548350
3	R31	['qtm,qsm,pm,tm,var_t,skew_l']	False	0.2	random_forest	10	125	0.13883548974990845	0.08373726324644135	0.6943530965413502	0:00:34.049404
4	R31	['qtm,qsm,pm,tm,var_t,skew_l']	False	0.2	random_forest	10	625	0.14716866612434387	0.0703905995225825	0.6019501227851237	0:02:51.214116
0	R31	['qtm,qsm,pm,tm,var_t,skew_l']	False	0.2	decision_tree	10	0125	0.13911177217960358	0.12440158301630262	0.8925038737355457	0:00:16.782779
1	R31	['qtm,qsm,pm,tm,var_t,skew_l']	False	0.2	decision_tree	10	00625	0.14697936177253726	0.12278203274430892	0.8341802500284723	0:01:15.205292
0	R13	['qtm,qsm,pm,tm,skew_l,var_t']	False	0.2	random_forest	10	1	0.11175554990768433	0.06989843681349696	0.7752099126695405	0:00:00.415045
1	R13	['qtm,qsm,pm,tm,skew_l,var_t']	False	0.2	random_forest	10	05	0.1204812154173851	0.07287567445391596	0.7367968135212376	0:00:01.218140
2	R13	['qtm,qsm,pm,tm,skew_l,var_t']	False	0.2	random_forest	10	025	0.12761524319648743	0.07902845812850315	0.6949629913337784	0:00:05.750292
3	R13	['qtm,qsm,pm,tm,skew_l,var_t']	False	0.2	random_forest	10	0125	0.1385200023651123	0.08394100503539344	0.6948308612189121	0:00:19.827361
4	R13	['qtm,qsm,pm,tm,skew_l,var_t']	False	0.2	random_forest	10	00625	0.14652253687381744	0.0685178577545245	0.5936654355959845	0:01:36.868472
