	input_vars_id	input_vars	satdeficit	eval_fraction	regtypes	tree_maxdepth	subdomain_sizes	refstd	samplestd	samplecorr	exectime
0	R320	['qtm,qsm,pm,tm,var_t,var_l,qlm']	False	0.2	decision_tree	10	1	0.11384006589651108	0.1132638844452219	0.9603384745109304	0:00:00.185337
1	R320	['qtm,qsm,pm,tm,var_t,var_l,qlm']	False	0.2	decision_tree	10	5	0.11922506988048552	0.11632998195748345	0.9549581760781222	0:00:00.833751
2	R320	['qtm,qsm,pm,tm,var_t,var_l,qlm']	False	0.2	decision_tree	10	25	0.1307384967803955	0.1237840989862078	0.9429434929321008	0:00:03.824097
0	R302	['qtm,qsm,pm,tm,var_t,qlm,var_l']	False	0.2	random_forest	10	1	0.10707224905490877	0.1011078724684313	0.93926336440536	0:00:00.418396
1	R302	['qtm,qsm,pm,tm,var_t,qlm,var_l']	False	0.2	random_forest	10	5	0.11960544437170027	0.1071447246842068	0.9180914415036048	0:00:02.274156
2	R302	['qtm,qsm,pm,tm,var_t,qlm,var_l']	False	0.2	random_forest	10	25	0.12798243761062622	0.11111085362297886	0.8898995022544414	0:00:11.184270
3	R302	['qtm,qsm,pm,tm,var_t,qlm,var_l']	False	0.2	random_forest	10	125	0.13846835494041446	0.10623361652498207	0.8142247146374302	0:00:55.533998
4	R302	['qtm,qsm,pm,tm,var_t,qlm,var_l']	False	0.2	random_forest	10	625	0.1472005546092987	0.08277163942205826	0.6292488126524451	0:04:09.764821
0	R302	['qtm,qsm,pm,tm,var_t,qlm,var_l']	False	0.2	decision_tree	10	0125	0.13909469544887546	0.1247947391991204	0.8958832531920818	0:00:16.859534
1	R302	['qtm,qsm,pm,tm,var_t,qlm,var_l']	False	0.2	decision_tree	10	00625	0.14672690629959104	0.1116822085980222	0.7604204420854237	0:01:13.976081
0	R203	['qtm,qsm,pm,tm,var_l,qlm,var_t']	False	0.2	random_forest	10	1	0.1043633297085762	0.09918021568866597	0.9368881059206412	0:00:00.414917
1	R203	['qtm,qsm,pm,tm,var_l,qlm,var_t']	False	0.2	random_forest	10	05	0.11926496028900146	0.106794999914374	0.9152695051315369	0:00:01.316442
2	R203	['qtm,qsm,pm,tm,var_l,qlm,var_t']	False	0.2	random_forest	10	025	0.1264546811580658	0.109875887194486	0.8910861752840233	0:00:05.833650
3	R203	['qtm,qsm,pm,tm,var_l,qlm,var_t']	False	0.2	random_forest	10	0125	0.13883338868618011	0.10711230112819412	0.8082108414229177	0:00:32.704574
4	R203	['qtm,qsm,pm,tm,var_l,qlm,var_t']	False	0.2	random_forest	10	00625	0.14685292541980743	0.08329326606861458	0.6252176746617469	0:02:33.394022
