	input_vars_id	input_vars	satdeficit	eval_fraction	regtypes	tree_maxdepth	subdomain_sizes	refstd	samplestd	samplecorr	exectime
0	R32	['qtm,qsm,pm,tm,var_t,var_l']	False	0.2	decision_tree	10	1	0.10538103431463244	0.09544210439608034	0.8821917574562053	0:00:00.166856
1	R32	['qtm,qsm,pm,tm,var_t,var_l']	False	0.2	decision_tree	10	5	0.12003039568662645	0.1084977666123654	0.9107786654587164	0:00:00.765767
2	R32	['qtm,qsm,pm,tm,var_t,var_l']	False	0.2	decision_tree	10	25	0.13091982901096344	0.12017547381133566	0.9141176878711856	0:00:03.514365
0	R32	['qtm,qsm,pm,tm,var_t,var_l']	False	0.2	random_forest	10	1	0.10922206193208693	0.06813367535979023	0.7635377801428209	0:00:00.341333
1	R32	['qtm,qsm,pm,tm,var_t,var_l']	False	0.2	random_forest	10	5	0.12000805139541625	0.0730116109675273	0.7388833003946347	0:00:01.563613
2	R32	['qtm,qsm,pm,tm,var_t,var_l']	False	0.2	random_forest	10	25	0.13021549582481384	0.07767776784329519	0.7178667771231649	0:00:07.636895
3	R32	['qtm,qsm,pm,tm,var_t,var_l']	False	0.2	random_forest	10	125	0.13933366537094116	0.08398797883089504	0.6858118067639848	0:00:37.112966
4	R32	['qtm,qsm,pm,tm,var_t,var_l']	False	0.2	random_forest	10	625	0.14670266211032867	0.0683377403910563	0.6077899549277834	0:02:41.044296
0	R32	['qtm,qsm,pm,tm,var_t,var_l']	False	0.2	decision_tree	10	0125	0.13882282376289368	0.1261025907340647	0.9075059219489756	0:00:15.853060
1	R32	['qtm,qsm,pm,tm,var_t,var_l']	False	0.2	decision_tree	10	00625	0.14704623818397522	0.12289918882713095	0.8370698025970287	0:01:11.783570
0	R32	['qtm,qsm,pm,tm,var_l,var_t']	False	0.2	random_forest	10	1	0.10869385302066804	0.06828480541375269	0.7611254842351134	0:00:00.350006
1	R32	['qtm,qsm,pm,tm,var_l,var_t']	False	0.2	random_forest	10	05	0.11967264860868455	0.07431566613269204	0.7226388277808519	0:00:01.620853
2	R32	['qtm,qsm,pm,tm,var_l,var_t']	False	0.2	random_forest	10	025	0.12965379655361176	0.07794817401465977	0.7193015440839071	0:00:07.969694
3	R32	['qtm,qsm,pm,tm,var_l,var_t']	False	0.2	random_forest	10	0125	0.1382298767566681	0.08423011869356388	0.685224476517101	0:00:35.261771
4	R32	['qtm,qsm,pm,tm,var_l,var_t']	False	0.2	random_forest	10	00625	0.14694970846176147	0.06909829418043713	0.596217224948189	0:02:49.301749
0	R23	['qtm,qsm,pm,tm,var_l,var_t']	False	0.2	random_forest	10	1	0.10813792049884796	0.0702474877197125	0.7777481750407799	0:00:00.414775
1	R23	['qtm,qsm,pm,tm,var_l,var_t']	False	0.2	random_forest	10	05	0.11968716233968735	0.07303488700814229	0.7231857222736188	0:00:01.225440
2	R23	['qtm,qsm,pm,tm,var_l,var_t']	False	0.2	random_forest	10	025	0.12910236418247223	0.07781662587009365	0.716472665751648	0:00:05.067102
3	R23	['qtm,qsm,pm,tm,var_l,var_t']	False	0.2	random_forest	10	0125	0.13795684278011322	0.0830275659404283	0.6949439311883272	0:00:21.025114
4	R23	['qtm,qsm,pm,tm,var_l,var_t']	False	0.2	random_forest	10	00625	0.14727719128131866	0.07003346334830925	0.58785747925067	0:01:27.784421
