	input_vars_id	input_vars	satdeficit	eval_fraction	regtypes	tree_maxdepth	subdomain_sizes	refstd	samplestd	samplecorr	exectime
4	R	['qtm,qsm,pm,tm,qlm']	False	0.2	random_forest	10	00625	0.14668674767017365	0.08324624571984593	0.6148761514307083	0:03:19.828912
0	R	['qtm,qsm,pm,tm,qlm']	False	0.2	random_forest	10	1	0.11268197000026706	0.10403540596512917	0.940259942420292	0:00:00.364851
1	R	['qtm,qsm,pm,tm,qlm']	False	0.2	random_forest	10	05	0.1184842735528946	0.1044759964215676	0.9119221327785352	0:00:01.995388
2	R	['qtm,qsm,pm,tm,qlm']	False	0.2	random_forest	10	025	0.12912549078464508	0.1110461663196017	0.8896895166426604	0:00:08.827359
3	R	['qtm,qsm,pm,tm,qlm']	False	0.2	random_forest	10	0125	0.13803225755691528	0.10606775025841927	0.8130247574384271	0:00:41.552785
4	R	['qtm,qsm,pm,tm,qlm']	False	0.2	random_forest	10	00625	0.14663207530975342	0.0830302370624785	0.6295224495065633	0:03:14.989627
0	R	['qtm,qsm,pm,tm,qlm']	False	0.2	random_forest	10	1	0.10897337645292282	0.10127550568354887	0.9455144432081588	0:00:00.349202
1	R	['qtm,qsm,pm,tm,qlm']	False	0.2	random_forest	10	05	0.11844336241483687	0.10847994336665273	0.92050999424501	0:00:02.064831
2	R	['qtm,qsm,pm,tm,qlm']	False	0.2	random_forest	10	025	0.12865306437015533	0.11086682191201808	0.8869765857761933	0:00:09.367018
3	R	['qtm,qsm,pm,tm,qlm']	False	0.2	random_forest	10	0125	0.1392846405506134	0.10654034189848634	0.8143209543108154	0:00:40.340583
4	R	['qtm,qsm,pm,tm,qlm']	False	0.2	random_forest	10	00625	0.14715167880058289	0.08335968111936258	0.6191685608444712	0:03:23.681267
0	R	['qtm,qsm,pm,tm,qlm']	False	0.2	random_forest	10	1	0.10797189176082612	0.10129557534499932	0.9442138167490725	0:00:00.322900
1	R	['qtm,qsm,pm,tm,qlm']	False	0.2	random_forest	10	05	0.11894213408231735	0.1062808027808081	0.91339020365818	0:00:01.768336
2	R	['qtm,qsm,pm,tm,qlm']	False	0.2	random_forest	10	025	0.12885724008083346	0.11163641483914054	0.8876691189257353	0:00:09.217207
3	R	['qtm,qsm,pm,tm,qlm']	False	0.2	random_forest	10	0125	0.13910236954689026	0.10789709172900673	0.8097111039654233	0:00:40.783199
4	R	['qtm,qsm,pm,tm,qlm']	False	0.2	random_forest	10	00625	0.14673368632793427	0.08207677694324099	0.6267794554338152	0:03:20.186660
0	R	['qtm,qsm,pm,tm,qlm']	False	0.2	random_forest	10	1	0.10336863994598387	0.09579988452162573	0.9352442086269066	0:00:00.374712
1	R	['qtm,qsm,pm,tm,qlm']	False	0.2	random_forest	10	05	0.11823015660047533	0.10727926748197164	0.9195556741374984	0:00:01.826842
2	R	['qtm,qsm,pm,tm,qlm']	False	0.2	random_forest	10	025	0.12907345592975614	0.11088819017151808	0.8883335541735292	0:00:08.676784
3	R	['qtm,qsm,pm,tm,qlm']	False	0.2	random_forest	10	0125	0.13840240240097046	0.10542948453600684	0.8112909483746304	0:00:38.727283
4	R	['qtm,qsm,pm,tm,qlm']	False	0.2	random_forest	10	00625	0.14646628499031067	0.08337321711532385	0.6244703452282745	0:03:21.853078
0	R	['qtm,qsm,pm,tm']	False	0.2	random_forest	10	1	0.10635445266962053	0.07005249306809401	0.7658299045863755	0:00:00.245722
